entity_id,name,country,ownership_pct,client_id
ENT-001,Harbour Nominees Ltd,KY,80,C789
ENT-002,Emerald Trustees DAC,IE,20,C789
ENT-003,Globex International Holdings,US,100,C456
ENT-004,BluePeak Beteiligungs GmbH,DE,65,C321
ENT-005,Atlas Fiduciary Services,VG,35,C321
ENT-006,Acme Founders LLP,GB,100,C123
ENT-007,Cedar Point GP Inc,US,55,C654
ENT-008,Solstice Capital Partners,KY,45,C654
ENT-009,Lumiere Famille SARL,FR,100,C777
ENT-010,Meridian Trust Co,GB,100,C555
ENT-0001,Verdant Trustees B,VG,100,C-00001
ENT-0002,Ion Holdco C,SE,100,C-00002
ENT-0003,Juniper Family Office D,SG,100,C-00003
ENT-0004,Beacon Fiduciary E,CH,60,C-00004
ENT-0005,Granite Trustees M,CH,40,C-00004
ENT-0006,Umbra Family Office F,US,60,C-00005
ENT-0007,Westhaven Management Ltd N,FR,40,C-00005
ENT-0008,Fjord Fiduciary G,RU,60,C-00006
ENT-0009,Harbour Trustees O,US,40,C-00006
ENT-0010,Aster Holdco H,NL,60,C-00007
ENT-0011,Evergreen Fiduciary P,US,40,C-00007
ENT-0012,Lattice Fiduciary I,FR,60,C-00008
ENT-0013,Granite Trustees Q,EG,40,C-00008
ENT-0014,Umbra Management Ltd J,VG,60,C-00009
ENT-0015,Tandem Management Ltd R,US,40,C-00009
ENT-0016,Harbour Holdco K,TR,100,C-00010
ENT-0017,Xenon Fiduciary L,FR,100,C-00011
ENT-0018,Lattice Holdco M,VG,60,C-00012
ENT-0019,Solstice Fiduciary U,BR,40,C-00012
ENT-0020,Verdant Trustees N,NL,60,C-00013
ENT-0021,Mosaic Management Ltd V,CH,40,C-00013
ENT-0022,Cobalt Holdco O,BR,60,C-00014
ENT-0023,Verdant Fiduciary W,SE,40,C-00014
ENT-0024,York Fiduciary P,KY,60,C-00015
ENT-0025,Juniper Family Office X,KY,40,C-00015
ENT-0026,Rivermark Holdco Q,CA,100,C-00016
ENT-0027,Cobalt Trustees R,US,100,C-00017
ENT-0028,York Management Ltd S,DE,100,C-00018
ENT-0029,Mosaic Fiduciary T,US,60,C-00019
ENT-0030,Juniper Holdco B,JP,40,C-00019
ENT-0031,Harbour Family Office U,TR,100,C-00020
ENT-0032,Peregrine Holdco V,JP,60,C-00021
ENT-0033,Verdant Management Ltd D,CA,40,C-00021
ENT-0034,Oakmont Family Office W,KY,60,C-00022
ENT-0035,Juniper Family Office E,AE,40,C-00022
ENT-0036,Cobalt Management Ltd X,EG,60,C-00023
ENT-0037,Evergreen Family Office F,FR,40,C-00023
ENT-0038,Rivermark Management Ltd Y,VG,100,C-00024
ENT-0039,Fjord Management Ltd Z,KY,100,C-00025
ENT-0040,Xenon Trustees A,JP,100,C-00026
ENT-0041,Ion Holdco B,FR,60,C-00027
ENT-0042,Cobalt Nominees J,US,40,C-00027
ENT-0043,Lattice Holdco C,RU,60,C-00028
ENT-0044,Harbour Nominees K,SG,40,C-00028
ENT-0045,Lattice Nominees D,IN,100,C-00029
ENT-0046,Oakmont Trustees E,LT,60,C-00030
ENT-0047,Fjord Management Ltd M,IE,40,C-00030
ENT-0048,Zephyr Management Ltd F,BR,100,C-00031
ENT-0049,Oakmont Management Ltd G,IN,60,C-00032
ENT-0050,York Holdco O,RU,40,C-00032
ENT-0051,Peregrine Holdco H,SG,60,C-00033
ENT-0052,Tandem Management Ltd P,IN,40,C-00033
ENT-0053,Ion Management Ltd I,DE,100,C-00034
